handle,type,packsize,cost,razorCost,url
0,ps,3,12.57,4.19,https://www.amazon.co.uk/dp/B0733CBTT8
0,pp,8,33.72,4.215,https://www.ebay.co.uk/itm/153925477316
0,ps,6,25.29,4.215,https://www.amazon.co.uk/dp/B01AT8WZBE
0,pp,4,16.99,4.2475,https://www.ebay.co.uk/itm/164177984116
0,pp,4,16.99,4.2475,https://www.amazon.co.uk/dp/B014DG96W4
0,pp,3,12.75,4.25,https://www.wotika.co.uk/index.php/gillette-carg-fus-proglide-power-3u
0,ps,4,17,4.25,https://www.sainsburys.co.uk/gol-ui/product/gillette-proshield-power-mens-razor-blades-x4
0,pc,4,17.05,4.2625,https://www.amazon.co.uk/dp/B01KK8UOK2
0,pp,8,34.15,4.26875,https://www.ebay.co.uk/itm/291855307565
0,pp,14,59.95,4.2821428571428575,https://www.ebay.co.uk/itm/124158716199
0,pp,4,17.26,4.315,https://www.amazon.co.uk/dp/B00HVZA6V0
0,pc,4,17.26,4.315,https://www.amazon.co.uk/dp/B01N19SU23
0,pp,4,17.26,4.315,https://www.amazon.co.uk/dp/B074RMRQ8Y
0,ps,2,8.65,4.325,https://www.ebay.co.uk/itm/274688333623
0,pp,4,17.35,4.3375,https://www.amazon.co.uk/dp/B00NY04AN6
0,pp,4,17.39,4.3475,https://www.ebay.co.uk/itm/114217277037
0,pp,16,69.8,4.3625,https://www.ebay.co.uk/itm/202874562525
0,pp,8,34.99,4.37375,https://www.ebay.co.uk/itm/293572856901
1,ps,8,34.99,4.37375,https://www.amazon.co.uk/dp/B08R7RWZ7X
0,pp,8,35.07,4.38375,https://www.ebay.co.uk/itm/164184668529
0,pp,4,17.64,4.41,https://www.promofarma.com/en/gillette-blades-fusion-proglide-4-4-blades/p-192627
0,pp,4,17.67,4.4175,https://www.amazon.co.uk/dp/B07995P1PK
0,pp,8,35.8,4.475,https://www.notino.co.uk/gillette/fusion-proglide-power-replacement-blades/
0,pc,6,26.99,4.498333333333333,https://www.amazon.co.uk/dp/B01AT8WZYG
0,op,1,4.5,4.5,https://www.ebay.co.uk/itm/254113622259
