id,handle,type,quantity,cost,razorCost,url
,0,pc,8,52.79,,https://www.amazon.co.uk/dp/B06WD1KN2G
,0,op,1,6.6,,https://www.ebay.co.uk/itm/233929673482
,0,pp,4,26.44,,https://www.ebay.co.uk/itm/383394148790
,0,op,1,6.64,,https://www.ebay.co.uk/itm/402548818364
,0,pp,3,19.97,,https://www.biuky.co.uk/man/gillette/p-58644
,1,pp,5,33.3,,https://www.ebay.co.uk/itm/321647871695
,0,op,3,19.99,,https://www.amazon.co.uk/dp/B08FXKLZPD
,0,ps,1,6.85,,https://www.ebay.co.uk/itm/203301034064
,0,ps,8,55.9,,https://www.amazon.co.uk/dp/B06VT6TGN1
,0,ps,1,6.99,,https://www.ebay.co.uk/itm/292929437016
,0,ps,1,6.99,,https://www.ebay.co.uk/itm/133666921373
,0,ps,1,7,,https://www.ebay.co.uk/itm/193789545060
,0,ps,1,7,,https://www.ebay.co.uk/itm/174238813520
,0,pp,4,28.66,,https://www.ebay.co.uk/itm/392758828365
,0,op,1,7.2,,https://www.ebay.co.uk/itm/174654700539
,0,op,4,29.04,,https://www.ebay.co.uk/itm/224345723352
,0,op,4,29.04,,https://www.ebay.co.uk/itm/353315242580
,0,pp,4,29.29,,https://www.amazon.co.uk/dp/B01FMDDD0I
,0,pp,12,88.99,,https://www.ebay.co.uk/itm/383247890212
,0,pp,4,29.7,,https://www.fruugo.co.uk/gillette-spare-parts-for-fusion-proglide-power/p-46493593-93367544
,0,op,1,7.45,,https://www.ebay.co.uk/itm/124402635184
,0,op,2,14.99,,https://www.amazon.co.uk/dp/B00766WTGO
,0,pp,8,59.99,,https://www.ebay.co.uk/itm/333571883329
,0,op,1,7.5,,https://www.ebay.co.uk/itm/113752730873
,0,pp,8,63.07,,https://www.ebay.co.uk/itm/114125842564
,0,p,4,31.75,,https://www.amazon.co.uk/dp/B00KA6STIO
,0,ps,1,7.94,,https://www.ebay.co.uk/itm/133674431103
,0,op,1,7.94,,https://www.ebay.co.uk/itm/303164550475
,0,op,1,7.94,,https://www.ebay.co.uk/itm/192336893732
,0,op,1,7.95,,https://www.ebay.co.uk/itm/193754236471
,0,op,1,7.99,,https://www.amazon.co.uk/dp/B0151I9VIW
,0,ps,1,7.99,,https://www.ebay.co.uk/itm/203304548617
,0,ps,1,7.99,,https://www.ebay.co.uk/itm/203304940248
,0,ps,1,7.99,,https://www.ebay.co.uk/itm/203301552662
,0,op,1,7.99,,https://www.ebay.co.uk/itm/333783248832
,0,ps,1,7.99,,https://www.ebay.co.uk/itm/203300100509
,0,ps,1,7.99,,https://www.ebay.co.uk/itm/203299203753
,0,op,1,7.99,,https://www.ebay.co.uk/itm/284073070472
,0,pc,1,7.99,,https://www.ebay.co.uk/itm/192966701610
,0,op,1,7.99,,https://www.ebay.co.uk/itm/124195948761
,0,ps,1,7.99,,https://www.ebay.co.uk/itm/203283815529
,0,ps,1,7.99,,https://www.ebay.co.uk/itm/203283784857
,0,ps,1,8,,https://www.ebay.co.uk/itm/133605520760
,0,op,1,8,,https://www.ebay.co.uk/itm/324471788362
,0,op,1,8,,https://www.ebay.co.uk/itm/284194384469
,0,op,1,8.09,,https://www.ebay.co.uk/itm/203213393617
,0,ps,1,8.1,,https://www.ebay.co.uk/itm/233631324647
,0,op,1,8.1,,https://www.ebay.co.uk/itm/174557885822
,0,ps,1,8.4,,https://www.ebay.co.uk/itm/114647776540
,0,op,1,8.66,,https://www.amazon.co.uk/dp/B0792S2Q7B
,0,ps,1,8.7,,https://www.ebay.co.uk/itm/333250620793
,0,op,1,8.89,,https://www.ebay.co.uk/itm/382953216247
,0,ps,1,8.95,,https://www.ebay.co.uk/itm/163385402218
,0,op,4,35.95,,https://www.amazon.co.uk/dp/B00CEU3D1C
,0,pc,1,8.99,,https://www.amazon.co.uk/dp/B018M3GBSQ
,1,pp,3,26.99,,https://www.ebay.co.uk/itm/254496827559
,0,pc,1,9.08,,https://www.amazon.co.uk/dp/B0196HHE92
,0,pc,3,27.94,,https://www.amazon.co.uk/dp/B0869C36KC
,0,ps,3,28.4715,,https://www.amazon.co.uk/dp/B06XYL5TJT
,0,pp,8,79.34,,https://www.ebay.co.uk/itm/383065067193
,1,pp,1,9.99,,https://www.superdrug.com/p/375107
,0,op,1,10.9,,https://www.amazon.co.uk/dp/B00J2AP9F0
,0,op,1,11.12,,https://www.amazon.co.uk/dp/B00OYRVPE0
,0,op,1,11.12,,https://www.amazon.co.uk/dp/B00TF87HSG
